outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element
328,3,"[12, 22, 22]",44,CURRENT_icmp_sent,18,20
329,3,"[4, 4, 5]",45,CURRENT_icmp_recv,4,6
330,3,"[4, 4, 9]",45,CURRENT_icmp_recv,5,7
331,3,"[21, 21, 43]",45,CURRENT_icmp_recv,30,32
332,3,"[21, 21, 60]",45,CURRENT_icmp_recv,31,33
333,3,"[3, 3, 5]",45,CURRENT_icmp_sent,4,6
334,3,"[3, 3, 4]",45,CURRENT_icmp_sent,6,8
335,3,"[3, 3, 4]",45,CURRENT_icmp_sent,7,9
336,3,"[3, 3, 4]",45,CURRENT_icmp_sent,8,10
337,3,"[30, 31, 66]",45,CURRENT_icmp_sent,28,30
338,3,"[24, 24, 45]",45,CURRENT_icmp_sent,33,35
339,3,"[8, 8, 10]",46,CURRENT_icmp_recv,4,6
340,3,"[6, 8, 8]",46,CURRENT_icmp_recv,6,8
341,3,"[33, 34, 69]",46,CURRENT_icmp_recv,17,19
342,3,"[39, 39, 57]",46,CURRENT_icmp_recv,27,29
343,3,"[8, 8, 9]",46,CURRENT_icmp_sent,4,6
344,3,"[5, 8, 8]",46,CURRENT_icmp_sent,5,7
345,3,"[5, 8, 8]",46,CURRENT_icmp_sent,6,8
346,3,"[12, 35, 35]",46,CURRENT_icmp_sent,12,14
347,3,"[25, 25, 39]",46,CURRENT_icmp_sent,18,20
348,3,"[11, 13, 112]",47,CURRENT_icmp_recv,9,11
349,3,"[11, 11, 12]",47,CURRENT_icmp_sent,5,7
350,3,"[11, 11, 13]",47,CURRENT_icmp_sent,6,8
351,3,"[9, 9, 14]",48,CURRENT_icmp_recv,5,7
352,3,"[143, 148, 335]",48,CURRENT_icmp_recv,14,16
353,3,"[44, 45, 168]",48,CURRENT_icmp_recv,25,27
354,3,"[44, 112, 114]",48,CURRENT_icmp_recv,32,34
355,3,"[45, 112, 114]",48,CURRENT_icmp_recv,33,35
356,3,"[11, 11, 12]",48,CURRENT_icmp_sent,6,8
357,3,"[10, 11, 11]",48,CURRENT_icmp_sent,7,9
358,3,"[72, 74, 186]",48,CURRENT_icmp_sent,16,18
359,3,"[24, 25, 88]",48,CURRENT_icmp_sent,30,32
360,3,"[4, 4, 12]",49,CURRENT_icmp_sent,6,8
361,3,"[8, 8, 15]",50,CURRENT_icmp_recv,4,6
362,3,"[3, 3, 8]",50,CURRENT_icmp_sent,4,6
363,3,"[3, 3, 8]",50,CURRENT_icmp_sent,5,7
364,3,"[3, 3, 4]",50,CURRENT_icmp_sent,6,8
365,3,"[17, 18, 18]",50,CURRENT_icmp_sent,11,13
