NODE,TIME,DATA TYPE,VALUE
4 R,3,CURRENT_icmp_recv,32
35 R,3,CURRENT_icmp_sent,9
35 R,3,CURRENT_icmp_recv,14
29 R,3,CURRENT_icmp_sent,14
29 R,3,CURRENT_icmp_recv,3
43 R,3,CURRENT_icmp_sent,54
68 R,3,CURRENT_icmp_sent,6
43 R,3,CURRENT_icmp_recv,82
68 R,3,CURRENT_icmp_recv,9
66 R,3,CURRENT_icmp_sent,22
66 R,3,CURRENT_icmp_recv,26
9 R,3,CURRENT_icmp_sent,11
9 R,3,CURRENT_icmp_recv,34
49 R,3,CURRENT_icmp_sent,8
42 R,3,CURRENT_icmp_sent,4
49 R,3,CURRENT_icmp_recv,8
42 R,3,CURRENT_icmp_recv,6
55 R,3,CURRENT_icmp_sent,5
55 R,3,CURRENT_icmp_recv,9
63 R,3,CURRENT_icmp_sent,14
63 R,3,CURRENT_icmp_recv,39
103 R,3,CURRENT_icmp_sent,5
103 R,3,CURRENT_icmp_recv,3
17 R,3,CURRENT_icmp_sent,3
16 R,3,CURRENT_icmp_sent,44
17 R,3,CURRENT_icmp_recv,3
16 R,3,CURRENT_icmp_recv,62
48 R,3,CURRENT_icmp_sent,63
27 R,3,CURRENT_icmp_sent,18
48 R,3,CURRENT_icmp_recv,74
27 R,3,CURRENT_icmp_recv,28
80 R,3,CURRENT_icmp_sent,11
80 R,3,CURRENT_icmp_recv,10
22 R,3,CURRENT_icmp_sent,17
39 R,3,CURRENT_icmp_sent,16
64 R,3,CURRENT_icmp_sent,23
22 R,3,CURRENT_icmp_recv,23
18 R,3,CURRENT_icmp_sent,17
39 R,3,CURRENT_icmp_recv,14
64 R,3,CURRENT_icmp_recv,23
18 R,3,CURRENT_icmp_recv,62
60 R,3,CURRENT_icmp_sent,8
60 R,3,CURRENT_icmp_recv,14
54 R,3,CURRENT_icmp_sent,16
54 R,3,CURRENT_icmp_recv,35
101 R,3,CURRENT_icmp_sent,5
101 R,3,CURRENT_icmp_recv,23
121 R,3,CURRENT_icmp_sent,5
121 R,3,CURRENT_icmp_recv,4
76 R,3,CURRENT_icmp_sent,14
76 R,3,CURRENT_icmp_recv,14
120 R,3,CURRENT_icmp_sent,6
12 R,3,CURRENT_icmp_sent,23
120 R,3,CURRENT_icmp_recv,12
12 R,3,CURRENT_icmp_recv,45
73 R,3,CURRENT_icmp_sent,11
73 R,3,CURRENT_icmp_recv,17
115 R,3,CURRENT_icmp_sent,4
115 R,3,CURRENT_icmp_recv,4
14 R,3,CURRENT_icmp_sent,9
14 R,3,CURRENT_icmp_recv,20
95 R,3,CURRENT_icmp_sent,31
95 R,3,CURRENT_icmp_recv,44
51 R,3,CURRENT_icmp_sent,3
51 R,3,CURRENT_icmp_recv,3
77 R,3,CURRENT_icmp_sent,10
118 R,3,CURRENT_icmp_sent,11
31 R,3,CURRENT_icmp_sent,17
77 R,3,CURRENT_icmp_recv,11
118 R,3,CURRENT_icmp_recv,17
31 R,3,CURRENT_icmp_recv,58
113 R,3,CURRENT_icmp_sent,8
113 R,3,CURRENT_icmp_recv,19
24 R,3,CURRENT_icmp_sent,4
24 R,3,CURRENT_icmp_recv,10
53 R,3,CURRENT_icmp_sent,8
53 R,3,CURRENT_icmp_recv,6
45 R,3,CURRENT_icmp_sent,4
28 R,3,CURRENT_icmp_sent,7
45 R,3,CURRENT_icmp_recv,9
28 R,3,CURRENT_icmp_recv,22
58 R,3,CURRENT_icmp_sent,5
58 R,3,CURRENT_icmp_recv,6
11 R,3,CURRENT_icmp_sent,45
11 R,3,CURRENT_icmp_recv,41
84 R,3,CURRENT_icmp_sent,8
84 R,3,CURRENT_icmp_recv,10
6 R,3,CURRENT_icmp_sent,8
