NODE,TIME,DATA TYPE,VALUES
"10	R",29,TOTAL_icmp_recv,192
"13	R",29,TOTAL_icmp_sent,256
"13	R",29,TOTAL_icmp_recv,200
"2	R",29,TOTAL_icmp_sent,125
"2	R",29,TOTAL_icmp_recv,107
"8	R",29,TOTAL_icmp_sent,117
"8	R",29,TOTAL_icmp_recv,176
"4	R",29,TOTAL_icmp_sent,151
"4	R",29,TOTAL_icmp_recv,134
"9	R",29,TOTAL_icmp_sent,121
"9	R",29,TOTAL_icmp_recv,172
"12	R",29,TOTAL_icmp_sent,115
"12	R",29,TOTAL_icmp_recv,223
"11	R",29,TOTAL_icmp_sent,118
"11	R",29,TOTAL_icmp_recv,100
"6	R",29,TOTAL_icmp_sent,211
"6	R",29,TOTAL_icmp_recv,160
"3	R",29,TOTAL_icmp_sent,188
"3	R",29,TOTAL_icmp_recv,160
"10	R",30,TOTAL_icmp_sent,229
"10	R",30,TOTAL_icmp_recv,197
"13	R",30,TOTAL_icmp_sent,265
"13	R",30,TOTAL_icmp_recv,205
"2	R",30,TOTAL_icmp_sent,129
"2	R",30,TOTAL_icmp_recv,110
"8	R",30,TOTAL_icmp_sent,121
"8	R",30,TOTAL_icmp_recv,181
"4	R",30,TOTAL_icmp_sent,156
"4	R",30,TOTAL_icmp_recv,138
"9	R",30,TOTAL_icmp_sent,124
"9	R",30,TOTAL_icmp_recv,177
"12	R",30,TOTAL_icmp_sent,119
"12	R",30,TOTAL_icmp_recv,230
"11	R",30,TOTAL_icmp_sent,121
"11	R",30,TOTAL_icmp_recv,102
"6	R",30,TOTAL_icmp_sent,219
"6	R",30,TOTAL_icmp_recv,164
"3	R",30,TOTAL_icmp_sent,194
"3	R",30,TOTAL_icmp_recv,167
"10	R",31,TOTAL_icmp_sent,235
"10	R",31,TOTAL_icmp_recv,203
"13	R",31,TOTAL_icmp_sent,274
"13	R",31,TOTAL_icmp_recv,210
"2	R",31,TOTAL_icmp_sent,133
"2	R",31,TOTAL_icmp_recv,112
"8	R",31,TOTAL_icmp_sent,124
"8	R",31,TOTAL_icmp_recv,187
"4	R",31,TOTAL_icmp_sent,161
"4	R",31,TOTAL_icmp_recv,142
"9	R",31,TOTAL_icmp_sent,127
"9	R",31,TOTAL_icmp_recv,183
"12	R",31,TOTAL_icmp_sent,123
"12	R",31,TOTAL_icmp_recv,238
"11	R",31,TOTAL_icmp_sent,125
"11	R",31,TOTAL_icmp_recv,105
"6	R",31,TOTAL_icmp_sent,225
"6	R",31,TOTAL_icmp_recv,170
"3	R",31,TOTAL_icmp_sent,200
"3	R",31,TOTAL_icmp_recv,171
"10	R",32,TOTAL_icmp_sent,242
"10	R",32,TOTAL_icmp_recv,207
"13	R",32,TOTAL_icmp_sent,281
"13	R",32,TOTAL_icmp_recv,216
"2	R",32,TOTAL_icmp_sent,136
"2	R",32,TOTAL_icmp_recv,115
"8	R",32,TOTAL_icmp_sent,127
"8	R",32,TOTAL_icmp_recv,190
"4	R",32,TOTAL_icmp_sent,166
"4	R",32,TOTAL_icmp_recv,145
"9	R",32,TOTAL_icmp_sent,130
