NODE,TIME,DATA TYPE,VALUES
"14	R",13,TOTAL_icmp_recv,341
"11	R",13,TOTAL_icmp_sent,61
"11	R",13,TOTAL_icmp_recv,48
"6	R",13,TOTAL_icmp_sent,95
"6	R",13,TOTAL_icmp_recv,128
"21	R",13,TOTAL_icmp_sent,114
"21	R",13,TOTAL_icmp_recv,174
"19	R",13,TOTAL_icmp_sent,62
"19	R",13,TOTAL_icmp_recv,119
"15	R",13,TOTAL_icmp_sent,71
"15	R",13,TOTAL_icmp_recv,116
"3	R",13,TOTAL_icmp_sent,115
"3	R",13,TOTAL_icmp_recv,124
"23	R",13,TOTAL_icmp_sent,64
"23	R",13,TOTAL_icmp_recv,57
"10	R",14,TOTAL_icmp_sent,141
"10	R",14,TOTAL_icmp_recv,215
"13	R",14,TOTAL_icmp_sent,61
"13	R",14,TOTAL_icmp_recv,200
"2	R",14,TOTAL_icmp_sent,67
"2	R",14,TOTAL_icmp_recv,75
"8	R",14,TOTAL_icmp_sent,61
"8	R",14,TOTAL_icmp_recv,198
"20	R",14,TOTAL_icmp_sent,87
"20	R",14,TOTAL_icmp_recv,158
"4	R",14,TOTAL_icmp_sent,68
"4	R",14,TOTAL_icmp_recv,103
"9	R",14,TOTAL_icmp_sent,66
"9	R",14,TOTAL_icmp_recv,136
"16	R",14,TOTAL_icmp_sent,70
"16	R",14,TOTAL_icmp_recv,162
"17	R",14,TOTAL_icmp_sent,66
"17	R",14,TOTAL_icmp_recv,173
"22	R",14,TOTAL_icmp_sent,67
"18	R",14,TOTAL_icmp_sent,64
"22	R",14,TOTAL_icmp_recv,82
"18	R",14,TOTAL_icmp_recv,87
"12	R",14,TOTAL_icmp_sent,74
"12	R",14,TOTAL_icmp_recv,166
"14	R",14,TOTAL_icmp_sent,194
"14	R",14,TOTAL_icmp_recv,357
"11	R",14,TOTAL_icmp_sent,64
"11	R",14,TOTAL_icmp_recv,50
"6	R",14,TOTAL_icmp_sent,100
"6	R",14,TOTAL_icmp_recv,130
"21	R",14,TOTAL_icmp_sent,119
"21	R",14,TOTAL_icmp_recv,181
"19	R",14,TOTAL_icmp_sent,65
"19	R",14,TOTAL_icmp_recv,124
"15	R",14,TOTAL_icmp_sent,76
"15	R",14,TOTAL_icmp_recv,120
"3	R",14,TOTAL_icmp_sent,121
"3	R",14,TOTAL_icmp_recv,129
"23	R",14,TOTAL_icmp_sent,67
"23	R",14,TOTAL_icmp_recv,59
"10	R",15,TOTAL_icmp_sent,148
"10	R",15,TOTAL_icmp_recv,220
"13	R",15,TOTAL_icmp_sent,65
"13	R",15,TOTAL_icmp_recv,201
"2	R",15,TOTAL_icmp_sent,69
"2	R",15,TOTAL_icmp_recv,79
"8	R",15,TOTAL_icmp_sent,64
"8	R",15,TOTAL_icmp_recv,206
"20	R",15,TOTAL_icmp_sent,93
"20	R",15,TOTAL_icmp_recv,166
"4	R",15,TOTAL_icmp_sent,71
"4	R",15,TOTAL_icmp_recv,104
"9	R",15,TOTAL_icmp_sent,70
"9	R",15,TOTAL_icmp_recv,140
"16	R",15,TOTAL_icmp_sent,74
"16	R",15,TOTAL_icmp_recv,164
"17	R",15,TOTAL_icmp_sent,69
"17	R",15,TOTAL_icmp_recv,181
"22	R",15,TOTAL_icmp_sent,68
"18	R",15,TOTAL_icmp_sent,68
"22	R",15,TOTAL_icmp_recv,83
"18	R",15,TOTAL_icmp_recv,88
"12	R",15,TOTAL_icmp_sent,78
"12	R",15,TOTAL_icmp_recv,167
"14	R",15,TOTAL_icmp_sent,205
"14	R",15,TOTAL_icmp_recv,368
"11	R",15,TOTAL_icmp_sent,68
"11	R",15,TOTAL_icmp_recv,51
"6	R",15,TOTAL_icmp_sent,105
"6	R",15,TOTAL_icmp_recv,134
"21	R",15,TOTAL_icmp_sent,124
"21	R",15,TOTAL_icmp_recv,183
"19	R",15,TOTAL_icmp_sent,68
"19	R",15,TOTAL_icmp_recv,126
"15	R",15,TOTAL_icmp_sent,81
"15	R",15,TOTAL_icmp_recv,121
"3	R",15,TOTAL_icmp_sent,127
"3	R",15,TOTAL_icmp_recv,133
"23	R",15,TOTAL_icmp_sent,71
"23	R",15,TOTAL_icmp_recv,61
"10	R",16,TOTAL_icmp_sent,154
"10	R",16,TOTAL_icmp_recv,227
"13	R",16,TOTAL_icmp_sent,68
"13	R",16,TOTAL_icmp_recv,207
"2	R",16,TOTAL_icmp_sent,72
"2	R",16,TOTAL_icmp_recv,81
"8	R",16,TOTAL_icmp_sent,66
"8	R",16,TOTAL_icmp_recv,213
"20	R",16,TOTAL_icmp_sent,100
"20	R",16,TOTAL_icmp_recv,175
"4	R",16,TOTAL_icmp_sent,75
"4	R",16,TOTAL_icmp_recv,108
"9	R",16,TOTAL_icmp_sent,73
"9	R",16,TOTAL_icmp_recv,143
"16	R",16,TOTAL_icmp_sent,78
"16	R",16,TOTAL_icmp_recv,170
"17	R",16,TOTAL_icmp_sent,72
"17	R",16,TOTAL_icmp_recv,185
"22	R",16,TOTAL_icmp_sent,72
"18	R",16,TOTAL_icmp_sent,71
"22	R",16,TOTAL_icmp_recv,84
"18	R",16,TOTAL_icmp_recv,89
"12	R",16,TOTAL_icmp_sent,83
"12	R",16,TOTAL_icmp_recv,174
"14	R",16,TOTAL_icmp_sent,217
"14	R",16,TOTAL_icmp_recv,382
"11	R",16,TOTAL_icmp_sent,71
"11	R",16,TOTAL_icmp_recv,53
"6	R",16,TOTAL_icmp_sent,110
"6	R",16,TOTAL_icmp_recv,136
"21	R",16,TOTAL_icmp_sent,129
